Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
720955	-475.5952381	244.6947368	116	5095.9805	312288	2.3195405	2	0.85978901
720956	-475.5952381	252.1894737	117	5083.6245	306576	2.3197865	2	0.85978901
720957	-475.5952381	259.6842105	119	5216.7754	315536	2.3202784	2	0.85978901
720958	-475.5952381	267.1789474	121	5400.8457	330576	2.6932364	2	0.85978901
720959	-475.5952381	274.6736842	122	5463.3125	328144	2.693568	2	0.85978901
786472	-468.1547619	102.2947368	236	25922.672	4241056	2.2538414	3	0.928572
786473	-468.1547619	109.7894737	234	26100.197	4342528	2.2533772	3	0.928572
786474	-468.1547619	117.2842105	234	26477.207	4460976	2.2533772	3	0.928572
786475	-468.1547619	124.7789474	226	25448.643	4298064	2.2515223	3	0.928572
786492	-468.1547619	252.1894737	116	4991.0117	291264	2.3195405	2	0.85978901
786493	-468.1547619	259.6842105	117	4990.0869	288240	2.3197865	2	0.85978901
786494	-468.1547619	267.1789474	119	5126.5532	298736	2.3202784	2	0.85978901
786495	-468.1547619	274.6736842	121	5313.9468	315184	2.6932364	2	0.85978901
786496	-468.1547619	282.1684211	121	5327.3687	312272	2.6932364	2	0.85978901
852007	-460.7142857	94.8	237	25404.414	4053328	2.2540736	3	0.928572
852008	-460.7142857	102.2947368	235	25375.746	4090784	2.2536092	3	0.928572
852009	-460.7142857	109.7894737	234	25645.258	4196016	2.2533772	3	0.928572
852010	-460.7142857	117.2842105	234	26053.301	4314464	2.2533772	3	0.928572
852030	-460.7142857	267.1789474	117	4943.9395	277456	2.3197865	2	0.85978901
852031	-460.7142857	274.6736842	118	4990.2441	280832	2.3200324	2	0.85978901
852032	-460.7142857	282.1684211	121	5276.1611	307600	2.6932364	2	0.85978901
852033	-460.7142857	289.6631579	121	5305.9316	308592	2.6932364	2	0.85978901
852034	-460.7142857	297.1578947	130	6114.3638	376032	2.696223	2	0.85978901
917542	-453.2738095	87.30526316	236	24613.422	3811024	2.2538414	3	0.928572
917543	-453.2738095	94.8	235	24619.723	3847584	2.2536092	3	0.928572
917544	-453.2738095	102.2947368	234	24862.377	3946096	2.2533772	3	0.928572
917545	-453.2738095	109.7894737	234	25239.43	4057024	2.2533772	3	0.928572
917567	-453.2738095	274.6736842	116	4864.3291	267824	2.3195405	2	0.85978901
917568	-453.2738095	282.1684211	118	5002.1162	280416	2.3200324	2	0.85978901
917569	-453.2738095	289.6631579	121	5288.0757	307824	2.6932364	2	0.85978901
917570	-453.2738095	297.1578947	121	5334.9219	312720	2.6932364	2	0.85978901
917571	-453.2738095	304.6526316	130	6111.3076	376000	2.696223	2	0.85978901
983078	-445.8333333	87.30526316	235	23915.34	3619488	2.2536092	3	0.928572
983079	-445.8333333	94.8	234	24128.932	3711216	2.2533772	3	0.928572
983080	-445.8333333	102.2947368	234	24473.117	3814624	2.2533772	3	0.928572
983104	-445.8333333	282.1684211	116	4919.9683	273008	2.3195405	2	0.85978901
983105	-445.8333333	289.6631579	117	4988.627	281712	2.3197865	2	0.85978901
983106	-445.8333333	297.1578947	121	5351.6563	315856	2.6932364	2	0.85978901
983107	-445.8333333	304.6526316	121	5415.5322	324656	2.6932364	2	0.85978901
983108	-445.8333333	312.1473684	132	6345.2231	401856	2.6968875	2	0.85978901
1048613	-438.3928571	79.81052632	235	23260.908	3406496	2.2536092	3	0.928572
1048614	-438.3928571	87.30526316	235	23507.963	3495104	2.2536092	3	0.928572
1048615	-438.3928571	94.8	234	23756.824	3587264	2.2533772	3	0.928572
1048616	-438.3928571	102.2947368	218	21346.852	3169056	2.2496705	3	0.928572
1048642	-438.3928571	297.1578947	117	5107.6533	297360	2.3197865	2	0.85978901
1048643	-438.3928571	304.6526316	120	5379.667	324464	2.3205245	2	0.85978901
1048644	-438.3928571	312.1473684	121	5544.8877	344400	2.6932364	2	0.85978901
1048645	-438.3928571	319.6421053	133	6506.8623	422848	2.6972201	2	0.85978901
1048646	-438.3928571	327.1368421	135	6797.3262	452432	2.697885	2	0.85978901
1114148	-430.952381	72.31578947	236	22883.211	3261376	2.2538414	3	0.928572
1114149	-430.952381	79.81052632	235	22869.541	3289664	2.2536092	3	0.928572
1114150	-430.952381	87.30526316	234	23091.982	3374944	2.2533772	3	0.928572
1114151	-430.952381	94.8	231	23039.953	3410576	2.2526813	3	0.928572
1114179	-430.952381	304.6526316	116	5214.3188	316960	2.3195405	2	0.85978901
1114180	-430.952381	312.1473684	119	5473.1953	343600	2.3202784	2	0.85978901
1114181	-430.952381	319.6421053	121	5721.5	371952	2.6932364	2	0.85978901
1114182	-430.952381	327.1368421	133	6630.6846	445184	2.6972201	2	0.85978901
1114183	-430.952381	334.6315789	135	6927.689	477296	2.697885	2	0.85978901
1179683	-423.5119048	64.82105263	236	22318.48	3076064	2.2538414	3	0.928572
1179684	-423.5119048	72.31578947	235	22279.039	3099328	2.2536092	3	0.928572
1179685	-423.5119048	79.81052632	235	22528.115	3180384	2.2536092	3	0.928572
1179686	-423.5119048	87.30526316	234	22786.848	3266032	2.2533772	3	0.928572
1179717	-423.5119048	319.6421053	118	5630.0537	372816	2.3200324	2	0.85978901
1179718	-423.5119048	327.1368421	121	5944.8843	407312	2.6932364	2	0.85978901
