sub,gender,integ_experienced,prop_time_off_path,entropy_all,MSD_all,abs_error,gardony_score
59,F,1.411323,0.042621489,0.827707692,0.094826161,50.01907057,0.188982
60,F,1.422277,0.163312248,0.834172741,0.11234718,68.5121444,0.744023809
61,F,1.473476,0.141508525,0.841483285,0.121941225,32.0007866,0.694365
62,M,1.356344,0.26706383,0.876081565,0.11302674,32.33188329,0.694365075
63,F,1.297346,0.140106552,0.879262799,0.098889859,59.63016831,0.640869944
64,M,1.239015,0.171704729,0.925970559,0.108153399,43.84391615,0.298807
66,F,1.38119,0.185748599,0.91460786,0.119344795,38.01169189,0.812843334
67,F,1.368974,0.080334895,0.860464227,0.126832647,21.66969472,0.92582
68,F,1.244152,0.058337385,0.873401094,0.103253492,64.58940371,0.823754471
69,F,1.235442,0.11828348,0.83753419,0.105072357,37.55609481,0.886405
70,F,1.285854,0.317845433,0.865160622,0.080983924,54.22362706,0.731925055
71,M,1.291779,0.123192542,0.948676229,0.105126024,12.33783946,0.896421
72,M,1.410475,0.054400749,0.841883439,0.127484416,48.37861648,0.626783
73,F,1.222504,0.128972868,0.922786878,0.101165919,65.1111386,0.654654
74,F,1.397334,0.188860128,0.915457179,0.105905071,33.67703068,0.916125
75,F,1.331823,0.276196951,0.931359954,0.139719559,38.13278333,0.876275
76,F,1.273792,0.2655521,0.907181226,0.115116075,40.98793485,0.550973
77,M,1.324446,0.020866917,0.846624042,0.099867737,32.98614292,0.744024
78,F,1.29195,0.126702357,0.907306268,0.126827085,36.26634722,0.823754471
79,M,1.332736,0.093973442,0.872903028,0.086451597,76.19443637,0.267261
80,F,1.084504,0.479178234,0.920304056,0.100282931,50.2833202,0.267261
81,F,1.452815,0.149547072,0.881781422,0.114215488,41.73830289,0.866025404
82,M,1.335195,0.086383332,0.849222674,0.107178799,49.83696538,0.755929
83,F,1.306433,0.067610063,0.816127093,0.093110696,60.23599024,0.916125
84,M,1.385399,0.136857056,0.88253658,0.121589657,21.74450052,0.906327
86,M,1.358196,0.056220626,0.893681127,0.136456087,37.64871428,0.267261
88,M,1.370328,0.121759697,0.923147013,0.131957874,19.55786814,0.855653468
89,F,1.271347,0.021399911,0.836545233,0.102121645,50.08827046,0.64087
90,F,1.397273,0.063336221,0.856439067,0.105391737,28.89067649,0.834523
91,F,1.393622,0.116115081,0.837154743,0.089949981,23.15619986,0.377964
