,x,y,z,heading,row_num,chunk_index,diff,count,sub
365,37.4,2.57,73.8,203.19,365,mov,0.0,13692,0020
366,37.4,2.57,73.8,203.19,366,mov,-0.5990954093622776,13692,0020
367,37.64,2.57,74.35,203.19,367,mov,-0.0983635936953533,13692,0020
368,37.68,2.57,74.44,203.19,368,3,0.0,2,0020
369,37.68,2.57,74.44,203.19,369,3,0.0,2,0020
370,37.68,2.57,74.44,203.19,370,mov,0.0,13692,0020
371,37.68,2.57,74.44,203.19,371,mov,-0.29950193009804593,13692,0020
372,37.79,2.57,74.72,203.19,372,mov,-0.09836555618147713,13692,0020
373,37.83,2.57,74.81,203.19,373,6,0.0,1,0020
374,37.83,2.57,74.81,203.19,374,mov,0.0,13692,0020
375,37.83,2.57,74.81,203.19,375,mov,0.02760768334508157,13692,0020
376,37.37,2.57,75.01,203.19,376,8,0.0,4,0020
377,37.37,2.57,75.01,203.19,377,8,0.0,4,0020
378,37.37,2.57,75.01,203.19,378,8,0.0,4,0020
379,37.37,2.57,75.01,203.19,379,8,0.0,4,0020
380,37.37,2.57,75.01,203.19,380,mov,0.0,13692,0020
381,37.37,2.57,75.01,203.19,381,mov,-0.40252685330658267,13692,0020
382,37.53,2.57,75.38,203.19,382,mov,-0.29518433492080476,13692,0020
383,37.65,2.57,75.65,203.19,383,11,0.0,119,0020
384,37.65,2.57,75.65,203.19,384,11,0.0,119,0020
385,37.65,2.57,75.65,203.19,385,11,0.0,119,0020
386,37.65,2.57,75.65,203.19,386,11,0.0,119,0020
387,37.65,2.57,75.65,203.19,387,11,0.0,119,0020
388,37.65,2.57,75.65,203.19,388,11,0.0,119,0020
389,37.65,2.57,75.65,203.19,389,11,0.0,119,0020
390,37.65,2.57,75.65,203.19,390,11,0.0,119,0020
391,37.65,2.57,75.65,203.19,391,11,0.0,119,0020
392,37.65,2.57,75.65,203.19,392,11,0.0,119,0020
393,37.65,2.57,75.65,203.19,393,11,0.0,119,0020
394,37.65,2.57,75.65,203.19,394,11,0.0,119,0020
395,37.65,2.57,75.65,202.99,395,11,0.0,119,0020
396,37.65,2.57,75.65,197.79,396,11,0.0,119,0020
397,37.65,2.57,75.65,196.19,397,11,0.0,119,0020
398,37.65,2.57,75.65,196.19,398,11,0.0,119,0020
399,37.65,2.57,75.65,193.39,399,11,0.0,119,0020
400,37.65,2.57,75.65,190.79,400,11,0.0,119,0020
401,37.65,2.57,75.65,190.79,401,11,0.0,119,0020
402,37.65,2.57,75.65,190.39,402,11,0.0,119,0020
403,37.65,2.57,75.65,190.39,403,11,0.0,119,0020
404,37.65,2.57,75.65,189.19,404,11,0.0,119,0020
405,37.65,2.57,75.65,187.59,405,11,0.0,119,0020
406,37.65,2.57,75.65,187.59,406,11,0.0,119,0020
407,37.65,2.57,75.65,184.99,407,11,0.0,119,0020
408,37.65,2.57,75.65,184.19,408,11,0.0,119,0020
409,37.65,2.57,75.65,183.19,409,11,0.0,119,0020
410,37.65,2.57,75.65,182.79,410,11,0.0,119,0020
411,37.65,2.57,75.65,182.79,411,11,0.0,119,0020
412,37.65,2.57,75.65,182.79,412,11,0.0,119,0020
413,37.65,2.57,75.65,182.79,413,11,0.0,119,0020
414,37.65,2.57,75.65,182.99,414,11,0.0,119,0020
415,37.65,2.57,75.65,182.99,415,11,0.0,119,0020
416,37.65,2.57,75.65,182.99,416,11,0.0,119,0020
417,37.65,2.57,75.65,182.99,417,11,0.0,119,0020
418,37.65,2.57,75.65,182.99,418,11,0.0,119,0020
419,37.65,2.57,75.65,182.99,419,11,0.0,119,0020
420,37.65,2.57,75.65,182.99,420,11,0.0,119,0020
421,37.65,2.57,75.65,182.99,421,11,0.0,119,0020
422,37.65,2.57,75.65,182.99,422,11,0.0,119,0020
423,37.65,2.57,75.65,182.99,423,11,0.0,119,0020
424,37.65,2.57,75.65,182.99,424,11,0.0,119,0020
425,37.65,2.57,75.65,182.99,425,11,0.0,119,0020
426,37.65,2.57,75.65,182.99,426,11,0.0,119,0020
427,37.65,2.57,75.65,182.99,427,11,0.0,119,0020
428,37.65,2.57,75.65,182.99,428,11,0.0,119,0020
429,37.65,2.57,75.65,182.99,429,11,0.0,119,0020
430,37.65,2.57,75.65,182.99,430,11,0.0,119,0020
431,37.65,2.57,75.65,182.99,431,11,0.0,119,0020
432,37.65,2.57,75.65,182.99,432,11,0.0,119,0020
433,37.65,2.57,75.65,182.99,433,11,0.0,119,0020
434,37.65,2.57,75.65,182.99,434,11,0.0,119,0020
435,37.65,2.57,75.65,182.99,435,11,0.0,119,0020
436,37.65,2.57,75.65,182.99,436,11,0.0,119,0020
437,37.65,2.57,75.65,182.99,437,11,0.0,119,0020
438,37.65,2.57,75.65,182.99,438,11,0.0,119,0020
439,37.65,2.57,75.65,182.99,439,11,0.0,119,0020
440,37.65,2.57,75.65,182.99,440,11,0.0,119,0020
441,37.65,2.57,75.65,182.99,441,11,0.0,119,0020
442,37.65,2.57,75.65,182.99,442,11,0.0,119,0020
443,37.65,2.57,75.65,182.99,443,11,0.0,119,0020
444,37.65,2.57,75.65,182.99,444,11,0.0,119,0020
445,37.65,2.57,75.65,182.99,445,11,0.0,119,0020
446,37.65,2.57,75.65,182.99,446,11,0.0,119,0020
447,37.65,2.57,75.65,182.99,447,11,0.0,119,0020
