,x,y,z,heading,row_num,chunk_index,diff,count,sub
0,37.4,2.57,73.8,226.19,0,0,0.0,210,0016
1,37.4,2.57,73.8,226.19,1,0,0.0,210,0016
2,37.4,2.57,73.8,226.19,2,0,0.0,210,0016
3,37.4,2.57,73.8,226.19,3,0,0.0,210,0016
4,37.4,2.57,73.8,227.99,4,0,0.0,210,0016
5,37.4,2.57,73.8,227.99,5,0,0.0,210,0016
6,37.4,2.57,73.8,227.99,6,0,0.0,210,0016
7,37.4,2.57,73.8,227.99,7,0,0.0,210,0016
8,37.4,2.57,73.8,226.59,8,0,0.0,210,0016
9,37.4,2.57,73.8,226.59,9,0,0.0,210,0016
10,37.4,2.57,73.8,223.19,10,0,0.0,210,0016
11,37.4,2.57,73.8,218.99,11,0,0.0,210,0016
12,37.4,2.57,73.8,218.39,12,0,0.0,210,0016
13,37.4,2.57,73.8,218.19,13,0,0.0,210,0016
14,37.4,2.57,73.8,218.19,14,0,0.0,210,0016
15,37.4,2.57,73.8,218.19,15,0,0.0,210,0016
16,37.4,2.57,73.8,218.19,16,0,0.0,210,0016
17,37.4,2.57,73.8,218.19,17,0,0.0,210,0016
18,37.4,2.57,73.8,218.19,18,0,0.0,210,0016
19,37.4,2.57,73.8,218.19,19,0,0.0,210,0016
20,37.4,2.57,73.8,218.19,20,0,0.0,210,0016
21,37.4,2.57,73.8,218.19,21,0,0.0,210,0016
22,37.4,2.57,73.8,218.19,22,0,0.0,210,0016
23,37.4,2.57,73.8,218.19,23,0,0.0,210,0016
24,37.4,2.57,73.8,218.19,24,0,0.0,210,0016
25,37.4,2.57,73.8,218.19,25,0,0.0,210,0016
26,37.4,2.57,73.8,218.19,26,0,0.0,210,0016
27,37.4,2.57,73.8,218.19,27,0,0.0,210,0016
28,37.4,2.57,73.8,218.19,28,0,0.0,210,0016
29,37.4,2.57,73.8,218.19,29,0,0.0,210,0016
30,37.4,2.57,73.8,218.19,30,0,0.0,210,0016
31,37.4,2.57,73.8,217.19,31,0,0.0,210,0016
32,37.4,2.57,73.8,217.19,32,0,0.0,210,0016
33,37.4,2.57,73.8,216.99,33,0,0.0,210,0016
34,37.4,2.57,73.8,216.99,34,0,0.0,210,0016
35,37.4,2.57,73.8,216.99,35,0,0.0,210,0016
36,37.4,2.57,73.8,216.99,36,0,0.0,210,0016
37,37.4,2.57,73.8,216.99,37,0,0.0,210,0016
38,37.4,2.57,73.8,216.99,38,0,0.0,210,0016
39,37.4,2.57,73.8,216.99,39,0,0.0,210,0016
40,37.4,2.57,73.8,216.99,40,0,0.0,210,0016
41,37.4,2.57,73.8,216.99,41,0,0.0,210,0016
42,37.4,2.57,73.8,216.99,42,0,0.0,210,0016
43,37.4,2.57,73.8,216.99,43,0,0.0,210,0016
44,37.4,2.57,73.8,216.99,44,0,0.0,210,0016
45,37.4,2.57,73.8,216.99,45,0,0.0,210,0016
46,37.4,2.57,73.8,216.99,46,0,0.0,210,0016
47,37.4,2.57,73.8,216.99,47,0,0.0,210,0016
48,37.4,2.57,73.8,216.99,48,0,0.0,210,0016
49,37.4,2.57,73.8,216.99,49,0,0.0,210,0016
50,37.4,2.57,73.8,216.99,50,0,0.0,210,0016
51,37.4,2.57,73.8,216.99,51,0,0.0,210,0016
52,37.4,2.57,73.8,216.99,52,0,0.0,210,0016
53,37.4,2.57,73.8,216.99,53,0,0.0,210,0016
54,37.4,2.57,73.8,216.99,54,0,0.0,210,0016
55,37.4,2.57,73.8,216.99,55,0,0.0,210,0016
56,37.4,2.57,73.8,216.99,56,0,0.0,210,0016
57,37.4,2.57,73.8,216.99,57,0,0.0,210,0016
58,37.4,2.57,73.8,216.99,58,0,0.0,210,0016
59,37.4,2.57,73.8,216.99,59,0,0.0,210,0016
60,37.4,2.57,73.8,216.59,60,0,0.0,210,0016
61,37.4,2.57,73.8,195.79,61,0,0.0,210,0016
62,37.4,2.57,73.8,177.79,62,0,0.0,210,0016
63,37.4,2.57,73.8,176.59,63,0,0.0,210,0016
64,37.4,2.57,73.8,176.59,64,0,0.0,210,0016
65,37.4,2.57,73.8,176.59,65,0,0.0,210,0016
66,37.4,2.57,73.8,176.59,66,0,0.0,210,0016
67,37.4,2.57,73.8,176.59,67,0,0.0,210,0016
68,37.4,2.57,73.8,176.59,68,0,0.0,210,0016
69,37.4,2.57,73.8,176.59,69,0,0.0,210,0016
70,37.4,2.57,73.8,175.99,70,0,0.0,210,0016
71,37.4,2.57,73.8,173.39,71,0,0.0,210,0016
72,37.4,2.57,73.8,173.19,72,0,0.0,210,0016
73,37.4,2.57,73.8,173.19,73,0,0.0,210,0016
74,37.4,2.57,73.8,173.19,74,0,0.0,210,0016
75,37.4,2.57,73.8,173.19,75,0,0.0,210,0016
76,37.4,2.57,73.8,173.19,76,0,0.0,210,0016
77,37.4,2.57,73.8,173.19,77,0,0.0,210,0016
78,37.4,2.57,73.8,173.19,78,0,0.0,210,0016
79,37.4,2.57,73.8,173.19,79,0,0.0,210,0016
80,37.4,2.57,73.8,173.19,80,0,0.0,210,0016
81,37.4,2.57,73.8,160.39,81,0,0.0,210,0016
82,37.4,2.57,73.8,155.99,82,0,0.0,210,0016
83,37.4,2.57,73.8,155.59,83,0,0.0,210,0016
84,37.4,2.57,73.8,155.59,84,0,0.0,210,0016
85,37.4,2.57,73.8,155.59,85,0,0.0,210,0016
86,37.4,2.57,73.8,155.59,86,0,0.0,210,0016
87,37.4,2.57,73.8,155.59,87,0,0.0,210,0016
88,37.4,2.57,73.8,155.59,88,0,0.0,210,0016
89,37.4,2.57,73.8,155.39,89,0,0.0,210,0016
90,37.4,2.57,73.8,155.59,90,0,0.0,210,0016
91,37.4,2.57,73.8,154.99,91,0,0.0,210,0016
92,37.4,2.57,73.8,154.39,92,0,0.0,210,0016
93,37.4,2.57,73.8,154.19,93,0,0.0,210,0016
94,37.4,2.57,73.8,154.19,94,0,0.0,210,0016
95,37.4,2.57,73.8,154.19,95,0,0.0,210,0016
96,37.4,2.57,73.8,154.19,96,0,0.0,210,0016
97,37.4,2.57,73.8,154.19,97,0,0.0,210,0016
98,37.4,2.57,73.8,155.39,98,0,0.0,210,0016
99,37.4,2.57,73.8,155.39,99,0,0.0,210,0016
100,37.4,2.57,73.8,155.39,100,0,0.0,210,0016
101,37.4,2.57,73.8,155.39,101,0,0.0,210,0016
102,37.4,2.57,73.8,155.39,102,0,0.0,210,0016
103,37.4,2.57,73.8,147.19,103,0,0.0,210,0016
104,37.4,2.57,73.8,129.19,104,0,0.0,210,0016
105,37.4,2.57,73.8,106.79,105,0,0.0,210,0016
106,37.4,2.57,73.8,105.19,106,0,0.0,210,0016
107,37.4,2.57,73.8,106.19,107,0,0.0,210,0016
108,37.4,2.57,73.8,106.59,108,0,0.0,210,0016
109,37.4,2.57,73.8,106.59,109,0,0.0,210,0016
110,37.4,2.57,73.8,106.99,110,0,0.0,210,0016
111,37.4,2.57,73.8,108.19,111,0,0.0,210,0016
112,37.4,2.57,73.8,108.19,112,0,0.0,210,0016
113,37.4,2.57,73.8,107.59,113,0,0.0,210,0016
114,37.4,2.57,73.8,107.19,114,0,0.0,210,0016
115,37.4,2.57,73.8,107.19,115,0,0.0,210,0016
116,37.4,2.57,73.8,106.59,116,0,0.0,210,0016
117,37.4,2.57,73.8,107.39,117,0,0.0,210,0016
118,37.4,2.57,73.8,108.19,118,0,0.0,210,0016
119,37.4,2.57,73.8,108.39,119,0,0.0,210,0016
120,37.4,2.57,73.8,108.59,120,0,0.0,210,0016
121,37.4,2.57,73.8,108.99,121,0,0.0,210,0016
122,37.4,2.57,73.8,109.19,122,0,0.0,210,0016
123,37.4,2.57,73.8,110.39,123,0,0.0,210,0016
124,37.4,2.57,73.8,110.39,124,0,0.0,210,0016
125,37.4,2.57,73.8,110.39,125,0,0.0,210,0016
126,37.4,2.57,73.8,110.39,126,0,0.0,210,0016
127,37.4,2.57,73.8,110.39,127,0,0.0,210,0016
128,37.4,2.57,73.8,110.39,128,0,0.0,210,0016
129,37.4,2.57,73.8,110.79,129,0,0.0,210,0016
130,37.4,2.57,73.8,113.79,130,0,0.0,210,0016
131,37.4,2.57,73.8,114.99,131,0,0.0,210,0016
132,37.4,2.57,73.8,115.39,132,0,0.0,210,0016
133,37.4,2.57,73.8,117.59,133,0,0.0,210,0016
134,37.4,2.57,73.8,119.99,134,0,0.0,210,0016
135,37.4,2.57,73.8,120.19,135,0,0.0,210,0016
136,37.4,2.57,73.8,120.19,136,0,0.0,210,0016
137,37.4,2.57,73.8,120.19,137,0,0.0,210,0016
138,37.4,2.57,73.8,120.19,138,0,0.0,210,0016
139,37.4,2.57,73.8,120.19,139,0,0.0,210,0016
140,37.4,2.57,73.8,120.19,140,0,0.0,210,0016
141,37.4,2.57,73.8,120.19,141,0,0.0,210,0016
142,37.4,2.57,73.8,120.19,142,0,0.0,210,0016
143,37.4,2.57,73.8,120.19,143,0,0.0,210,0016
144,37.4,2.57,73.8,120.19,144,0,0.0,210,0016
145,37.4,2.57,73.8,120.19,145,0,0.0,210,0016
146,37.4,2.57,73.8,120.19,146,0,0.0,210,0016
147,37.4,2.57,73.8,120.19,147,0,0.0,210,0016
148,37.4,2.57,73.8,125.39,148,0,0.0,210,0016
149,37.4,2.57,73.8,134.39,149,0,0.0,210,0016
150,37.4,2.57,73.8,142.39,150,0,0.0,210,0016
151,37.4,2.57,73.8,142.79,151,0,0.0,210,0016
152,37.4,2.57,73.8,142.79,152,0,0.0,210,0016
153,37.4,2.57,73.8,142.79,153,0,0.0,210,0016
154,37.4,2.57,73.8,142.79,154,0,0.0,210,0016
155,37.4,2.57,73.8,151.19,155,0,0.0,210,0016
156,37.4,2.57,73.8,154.19,156,0,0.0,210,0016
157,37.4,2.57,73.8,158.19,157,0,0.0,210,0016
158,37.4,2.57,73.8,161.39,158,0,0.0,210,0016
159,37.4,2.57,73.8,171.59,159,0,0.0,210,0016
160,37.4,2.57,73.8,175.19,160,0,0.0,210,0016
161,37.4,2.57,73.8,177.79,161,0,0.0,210,0016
162,37.4,2.57,73.8,178.79,162,0,0.0,210,0016
163,37.4,2.57,73.8,180.39,163,0,0.0,210,0016
164,37.4,2.57,73.8,189.59,164,0,0.0,210,0016
165,37.4,2.57,73.8,193.19,165,0,0.0,210,0016
166,37.4,2.57,73.8,194.19,166,0,0.0,210,0016
167,37.4,2.57,73.8,194.19,167,0,0.0,210,0016
168,37.4,2.57,73.8,194.19,168,0,0.0,210,0016
169,37.4,2.57,73.8,196.79,169,0,0.0,210,0016
170,37.4,2.57,73.8,197.99,170,0,0.0,210,0016
171,37.4,2.57,73.8,197.99,171,0,0.0,210,0016
172,37.4,2.57,73.8,196.39,172,0,0.0,210,0016
173,37.4,2.57,73.8,195.39,173,0,0.0,210,0016
174,37.4,2.57,73.8,194.79,174,0,0.0,210,0016
175,37.4,2.57,73.8,190.99,175,0,0.0,210,0016
176,37.4,2.57,73.8,189.79,176,0,0.0,210,0016
177,37.4,2.57,73.8,189.19,177,0,0.0,210,0016
178,37.4,2.57,73.8,189.39,178,0,0.0,210,0016
179,37.4,2.57,73.8,191.59,179,0,0.0,210,0016
180,37.4,2.57,73.8,192.59,180,0,0.0,210,0016
181,37.4,2.57,73.8,194.79,181,0,0.0,210,0016
182,37.4,2.57,73.8,194.99,182,0,0.0,210,0016
183,37.4,2.57,73.8,197.99,183,0,0.0,210,0016
184,37.4,2.57,73.8,200.39,184,0,0.0,210,0016
185,37.4,2.57,73.8,205.59,185,0,0.0,210,0016
186,37.4,2.57,73.8,216.79,186,0,0.0,210,0016
187,37.4,2.57,73.8,220.19,187,0,0.0,210,0016
188,37.4,2.57,73.8,230.39,188,0,0.0,210,0016
189,37.4,2.57,73.8,233.79,189,0,0.0,210,0016
190,37.4,2.57,73.8,235.79,190,0,0.0,210,0016
191,37.4,2.57,73.8,236.99,191,0,0.0,210,0016
192,37.4,2.57,73.8,240.79,192,0,0.0,210,0016
193,37.4,2.57,73.8,248.79,193,0,0.0,210,0016
194,37.4,2.57,73.8,251.19,194,0,0.0,210,0016
195,37.4,2.57,73.8,251.79,195,0,0.0,210,0016
196,37.4,2.57,73.8,254.79,196,0,0.0,210,0016
197,37.4,2.57,73.8,259.99,197,0,0.0,210,0016
198,37.4,2.57,73.8,263.59,198,0,0.0,210,0016
199,37.4,2.57,73.8,265.39,199,0,0.0,210,0016
200,37.4,2.57,73.8,266.39,200,0,0.0,210,0016
201,37.4,2.57,73.8,266.39,201,0,0.0,210,0016
202,37.4,2.57,73.8,266.39,202,0,0.0,210,0016
203,37.4,2.57,73.8,266.39,203,0,0.0,210,0016
204,37.4,2.57,73.8,266.39,204,0,0.0,210,0016
205,37.4,2.57,73.8,266.59,205,0,0.0,210,0016
206,37.4,2.57,73.8,266.59,206,0,0.0,210,0016
207,37.4,2.57,73.8,266.59,207,0,0.0,210,0016
208,37.4,2.57,73.8,266.59,208,0,0.0,210,0016
209,37.4,2.57,73.8,266.59,209,0,0.0,210,0016
210,37.4,2.57,73.8,266.59,210,mov,0.0,14097,0016
211,37.4,2.57,73.8,266.59,211,mov,-0.2539074360014837,14097,0016
