,x,y,z,heading,row_num,chunk_index,diff,count,sub
572,37.4,2.57,73.8,120.99,572,mov,0.0,13669,0019
573,37.4,2.57,73.8,120.99,573,mov,-0.016811464536800713,13669,0019
574,37.14,2.57,73.95,120.99,574,mov,-0.040871433731169304,13669,0019
575,36.71,2.57,74.21,120.99,575,mov,-0.048279623900469915,13669,0019
576,36.29,2.57,74.47,120.99,576,mov,-0.04686833223738063,13669,0019
577,35.86,2.57,74.73,120.99,577,mov,-0.029869068514699393,13669,0019
578,35.51,2.57,74.93,120.99,578,mov,-0.06384903872515224,13669,0019
579,35.0,2.57,75.24,120.99,579,mov,-0.05588047337779756,13669,0019
580,34.57,2.57,75.5,120.99,580,mov,-0.0588815657325199,13669,0019
581,34.14,2.57,75.76,120.99,581,mov,-0.05273484819375085,13669,0019
582,33.71,2.57,76.01,120.99,582,mov,-0.06884000458471462,13669,0019
583,33.29,2.57,76.27,120.99,583,11,0.0,264,0019
584,33.29,2.57,76.27,120.99,584,11,0.0,264,0019
585,33.29,2.57,76.27,120.99,585,11,0.0,264,0019
586,33.29,2.57,76.27,120.99,586,11,0.0,264,0019
587,33.29,2.57,76.27,120.99,587,11,0.0,264,0019
588,33.29,2.57,76.27,120.99,588,11,0.0,264,0019
589,33.29,2.57,76.27,120.99,589,11,0.0,264,0019
590,33.29,2.57,76.27,120.99,590,11,0.0,264,0019
591,33.29,2.57,76.27,120.99,591,11,0.0,264,0019
592,33.29,2.57,76.27,120.99,592,11,0.0,264,0019
593,33.29,2.57,76.27,120.99,593,11,0.0,264,0019
594,33.29,2.57,76.27,120.99,594,11,0.0,264,0019
595,33.29,2.57,76.27,120.99,595,11,0.0,264,0019
596,33.29,2.57,76.27,116.99,596,11,0.0,264,0019
597,33.29,2.57,76.27,116.99,597,11,0.0,264,0019
598,33.29,2.57,76.27,106.59,598,11,0.0,264,0019
599,33.29,2.57,76.27,102.79,599,11,0.0,264,0019
600,33.29,2.57,76.27,103.39,600,11,0.0,264,0019
601,33.29,2.57,76.27,103.39,601,11,0.0,264,0019
602,33.29,2.57,76.27,103.99,602,11,0.0,264,0019
603,33.29,2.57,76.27,103.99,603,11,0.0,264,0019
604,33.29,2.57,76.27,103.99,604,11,0.0,264,0019
605,33.29,2.57,76.27,103.99,605,11,0.0,264,0019
606,33.29,2.57,76.27,103.99,606,11,0.0,264,0019
607,33.29,2.57,76.27,103.99,607,11,0.0,264,0019
608,33.29,2.57,76.27,103.99,608,11,0.0,264,0019
609,33.29,2.57,76.27,103.99,609,11,0.0,264,0019
610,33.29,2.57,76.27,103.99,610,11,0.0,264,0019
611,33.29,2.57,76.27,103.99,611,11,0.0,264,0019
612,33.29,2.57,76.27,103.99,612,11,0.0,264,0019
613,33.29,2.57,76.27,103.99,613,11,0.0,264,0019
614,33.29,2.57,76.27,103.99,614,11,0.0,264,0019
615,33.29,2.57,76.27,103.99,615,11,0.0,264,0019
616,33.29,2.57,76.27,102.19,616,11,0.0,264,0019
617,33.29,2.57,76.27,95.39,617,11,0.0,264,0019
618,33.29,2.57,76.27,94.99,618,11,0.0,264,0019
619,33.29,2.57,76.27,109.59,619,11,0.0,264,0019
620,33.29,2.57,76.27,120.79,620,11,0.0,264,0019
621,33.29,2.57,76.27,123.59,621,11,0.0,264,0019
622,33.29,2.57,76.27,123.59,622,11,0.0,264,0019
623,33.29,2.57,76.27,123.59,623,11,0.0,264,0019
624,33.29,2.57,76.27,123.59,624,11,0.0,264,0019
625,33.29,2.57,76.27,123.59,625,11,0.0,264,0019
626,33.29,2.57,76.27,123.59,626,11,0.0,264,0019
627,33.29,2.57,76.27,123.59,627,11,0.0,264,0019
628,33.29,2.57,76.27,123.59,628,11,0.0,264,0019
629,33.29,2.57,76.27,123.59,629,11,0.0,264,0019
630,33.29,2.57,76.27,123.59,630,11,0.0,264,0019
631,33.29,2.57,76.27,123.59,631,11,0.0,264,0019
632,33.29,2.57,76.27,122.99,632,11,0.0,264,0019
633,33.29,2.57,76.27,120.39,633,11,0.0,264,0019
634,33.29,2.57,76.27,120.19,634,11,0.0,264,0019
635,33.29,2.57,76.27,120.19,635,11,0.0,264,0019
