1,1.238,4,-37.4,-73.8,2,3,4,5,1.238,1.308,1.238,1.308,,
2,1.451,3,-72,-140,1,3,6,1.238,1.451,1.451,,,,
3,1.821,2,-97,-70,1,7,1.308,1.821,,,,,,
4,1.238,3,18,100,1,8,9,1.238,1.238,1.043,,,,
5,1.308,2,158,-240,1,10,1.308,0.948,,,,,,
6,1.451,2,28,-300,2,11,1.451,1.175,,,,,,
7,1.821,3,-162,-90,3,12,13,1.821,1.346,1.821,,,,
8,1.238,2,88,170,4,10,1.238,0.929,,,,,,
9,1.043,2,-242,160,4,14,1.043,0.998,,,,,,
10,0.929,3,338,-30,5,8,15,0.948,0.929,0.929,,,,
11,1.346,3,28,-440,6,16,17,1.175,1.346,1.346,,,,
12,1.346,2,-242,-10,7,18,1.346,1.255,,,,,,
13,1.821,4,-242,-170,7,19,20,21,1.821,1.272,1.821,1.786,,
14,1.043,3,-362,80,9,18,22,0.998,1.043,1.067,,,,
15,0.929,2,538,-170,10,23,0.929,0.86,,,,,,
16,0.998,2,288,-430,11,23,1.346,0.998,,,,,,
17,1.366,3,-122,-440,11,24,25,1.346,0.957,1.366,,,,
18,1.255,3,-362,0,12,14,26,1.255,1.043,1.255,,,,
19,1.272,2,-262,-240,13,20,1.272,1.255,,,,,,
20,1.688,5,-352,-240,13,19,21,27,28,1.821,1.255,1.688,1.688,1.821
21,1.786,3,-372,-160,13,20,29,1.786,1.688,1.786,,,,
22,1.067,3,-532,80,14,26,30,1.067,1.238,1.02,,,,
23,0.86,2,358,-400,15,16,0.86,0.998,,,,,,
24,0.957,1,-152,-230,17,0.957,,,,,,,,
25,1.366,3,-322,-470,17,27,31,1.366,1.688,1.366,,,,
26,1.238,3,-412,0,18,22,32,1.255,1.238,1.474,,,,
27,1.688,3,-342,-310,20,25,28,1.688,1.688,1.429,,,,
28,1.429,3,-432,-310,20,27,29,1.821,1.429,1.548,,,,
29,1.786,4,-432,-130,21,28,32,33,1.786,1.548,1.786,1.222,,
30,1.02,3,-642,50,22,34,35,1.02,0.807,0.957,,,,
31,1.01,2,-582,-520,25,36,1.366,1.009,,,,,,
32,1.474,4,-462,-100,26,29,33,37,1.474,1.786,1.474,1.786,,
33,1.222,2,-492,-150,29,32,1.22,1.474,,,,,,
34,0.807,2,-702,-30,30,38,0.807,0.774,,,,,,
35,0.957,2,-622,-90,30,39,0.957,1.055,,,,,,
36,0.844,2,-642,-490,31,38,1.009,0.844,,,,,,
37,1.246,2,-512,-90,32,39,1.786,1.246,,,,,,
38,0.774,2,-692,-410,34,36,0.774,0.844,,,,,,
39,1.055,2,-572,-100,35,37,1.055,1.246,,,,,,
